"courseNumber","longName","crsValueUnits","crsValueHours","isBoardDeveloped","male","female","total"
15000,"Aboriginal Studies",2,,"Y",158,338,496
63033,"Aboriginal Studies - Local",2,,"N",2,2,4
16687,"Aboriginal Studies Life Skills",2,,"Y",10,15,25
64054,"Active Volunteering",2,,"N",1,1,2
41605,"Aeroskills",2,,"N",15,,15
27103,"Aged Care Specialisation Study",1,,"Y",5,64,69
15010,"Agriculture",2,,"Y",634,761,1395
16681,"Agriculture Life Skills",2,,"Y",39,24,63
51318,"Air-conditioning and Refrigeration",2,,"N",1,,1
51319,"Air-conditioning and Refrigeration",1,,"N",1,,1
15020,"Ancient History",2,,"Y",4197,5713,9910
58152,"Animal Studies",2,,"N",29,120,149
58153,"Animal Studies",2,,"N",49,286,335
58154,"Animal Studies",4,,"N",4,10,14
50090,"Aquaculture",2,,"N",2,,2
15500,"Arabic Beginners",2,,"Y",,3,3
15510,"Arabic Continuers",2,,"Y",78,135,213
15520,"Arabic Extension",1,,"Y",27,39,66
15530,"Armenian Continuers",2,,"Y",6,10,16
65334,"Assistant Dance Teaching",2,,"N",,1,1
65336,"Assistant Dance Teaching",2,,"N",,8,8
26000,"Automotive",2,,"Y",58,9,67
26001,"Automotive",2,,"Y",615,35,650
26002,"Automotive",4,,"Y",23,6,29
65542,"Automotive Body Repair Technology",2,,"N",2,,2
26089,"Automotive Examination (Mechanical Technology)",2,,"Y",294,17,311
26087,"Automotive Examination (Vehicle Body)",2,,"Y",17,5,22
43447,"Automotive Refinishing Technology",2,,"N",1,,1
26014,"Automotive Specialisation Study",2,,"Y",43,,43
43446,"Automotive Tyre Servicing Technology",3,,"N",1,,1
65074,"Aviation (Flight Operations)",2,,"N",4,27,31
65400,"Aviation (Flight Operations)",2,,"N",6,23,29
65071,"Aviation (Ground Operations and Service)",2,,"N",3,,3
43422,"Aviation - Aircraft Operation (Theory)",2,,"N",2,,2
43423,"Aviation - Aircraft Operation (Theory)",2,,"N",2,1,3
65421,"Beauty",2,,"N",1,162,163
43884,"Beauty Services (Make-Up)",4,,"N",,14,14
65431,"Beauty Specialisation Study",2,,"N",,12,12
43898,"Beauty Therapy School-based Apprenticeship",4,,"N",,3,3
63262,"Biblical Studies",1,,"N",10,7,17
65594,"Bicycle Workshop Operations",2,,"N",1,,1
15030,"Biology",2,,"Y",6851,10884,17735
95034,"Biology",2,,"N",,7,7
63131,"Braille",2,,"N",,2,2
63234,"Bushcraft",1,,"N",6,6,12
16688,"Business and Economics Life Skills",2,,"Y",40,26,66
26100,"Business Services",2,,"Y",54,55,109
26101,"Business Services",2,,"Y",467,1360,1827
26102,"Business Services",4,,"Y",71,78,149
26199,"Business Services Examination",2,,"Y",235,786,1021
26103,"Business Services Specialisation Study",1,,"Y",2,8,10
26104,"Business Services Specialisation Study",2,,"Y",14,59,73
26105,"Business Services Specialisation Study",3,,"Y",3,7,10
15040,"Business Studies",2,,"Y",9007,8124,17131
63048,"Catholic Studies",1,,"N",3051,1980,5031
63049,"Catholic Studies",2,,"N",1,,1
63054,"Catholic Studies Life Skills",1,,"N",36,37,73
35028,"Ceramics",1,,"N",6,20,26
35029,"Ceramics",2,,"N",36,89,125
15050,"Chemistry",2,,"Y",5837,4717,10554
15560,"Chinese Background Speakers",2,,"Y",281,391,672
15540,"Chinese Beginners",2,,"Y",12,20,32
15550,"Chinese Continuers",2,,"Y",51,47,98
15570,"Chinese Extension",1,,"Y",14,11,25
62813,"Christian Ministry and Theology",2,,"N",2,,2
64176,"Christian Studies",1,,"N",4,2,6
16689,"Citizenship and Legal Studies Life Skills",2,,"Y",32,26,58
63195,"Classical Ballet",2,,"N",1,7,8
15580,"Classical Greek Continuers",2,,"Y",10,6,16
15590,"Classical Greek Extension",1,,"Y",8,4,12
15600,"Classical Hebrew Continuers",2,,"Y",13,21,34
15610,"Classical Hebrew Extension",1,,"Y",10,9,19
95065,"Communication in Organisations",2,,"N",4,7,11
15060,"Community and Family Studies",2,,"Y",627,7317,7944
16697,"Community and Family Studies Life Skills",2,,"Y",71,123,194
65346,"Community Dance, Theatre & Events",2,,"N",,4,4
26904,"Community Pharmacy Specialisation Study",2,,"Y",1,6,7
58257,"Community Services",4,,"N",3,15,18
58251,"Community Services - Introduction",2,,"N",4,179,183
58255,"Community Services - Introduction",3,,"N",6,108,114
43553,"Community Services Work",2,,"N",1,17,18
43555,"Community Services Work",3,,"N",2,6,8
43824,"Companion Animal Services",2,,"N",2,20,22
41501,"Computer (CAD)",2,,"N",10,1,11
41503,"Computer (CAD)",2,,"N",2,,2
35022,"Computing Applications",1,,"N",27,8,35
35023,"Computing Applications",2,,"N",127,47,174
63381,"Connected Learning",1,,"N",17,45,62
26200,"Construction",2,,"Y",47,7,54
26201,"Construction",2,,"Y",2905,83,2988
26202,"Construction",4,,"Y",81,5,86
26299,"Construction Examination",2,,"Y",1448,43,1491
26291,"Construction School-based Apprenticeship",2,,"Y",74,1,75
26292,"Construction School-based Apprenticeship",4,,"Y",1,,1
26293,"Construction School-based Apprenticeship Specialisation",1,,"Y",1,,1
26294,"Construction School-based Apprenticeship Specialisation",2,,"Y",47,,47
26204,"Construction Specialisation Study",2,,"Y",43,2,45
26206,"Construction Specialisation Study",4,,"Y",5,,5
16650,"Creative Arts Life Skills",2,,"Y",274,148,422
45511,"Credit Transfer Units",2,,"N",1,1,2
15620,"Croatian Continuers",2,,"Y",4,4,8
15070,"Dance",2,,"Y",41,837,878
16652,"Dance Life Skills",2,,"Y",5,15,20
62984,"Dental Assisting",2,,"N",,4,4
15080,"Design and Technology",2,,"Y",1902,1299,3201
16682,"Design and Technology Life Skills",2,,"Y",43,18,61
43741,"Design Fundamentals",2,,"N",10,32,42
43742,"Design Fundamentals",2,,"N",31,102,133
43743,"Design Fundamentals",4,,"N",,3,3
43781,"Disability",2,,"N",1,2,3
43783,"Disability",3,,"N",2,2,4
15090,"Drama",2,,"Y",1542,3182,4724
16654,"Drama Life Skills",2,,"Y",38,38,76
63239,"Driver Education",2,,"N",8,1,9
15640,"Dutch Continuers",2,,"Y",2,1,3
41824,"Early Childhood Education and Care",2,,"N",12,257,269
41825,"Early Childhood Education and Care",3,,"N",1,9,10
41826,"Early Childhood Education and Care",4,,"N",1,193,194
15100,"Earth and Environmental Science",2,,"Y",895,697,1592
15110,"Economics",2,,"Y",3345,1851,5196
44030,"Education Support",3,,"N",4,20,24
44031,"Education Support",1,,"N",1,14,15
43801,"Electronics and Communications",2,,"N",1,,1
26300,"Electrotechnology",2,,"Y",56,5,61
26301,"Electrotechnology",2,,"Y",381,7,388
26302,"Electrotechnology",4,,"Y",13,,13
26399,"Electrotechnology Examination",2,,"Y",257,7,264
26314,"Electrotechnology Specialisation Study",2,,"Y",6,,6
59726,"Engineering Pathways",2,,"N",1,,1
15120,"Engineering Studies",2,,"Y",1884,122,2006
15140,"English (Advanced)",2,,"Y",10908,15172,26080
15130,"English (Standard)",2,,"Y",15895,15396,31291
15150,"English as a Second Language",2,,"Y",1107,1220,2327
15160,"English Extension 1",1,,"Y",1400,2954,4354
15170,"English Extension 2",1,,"Y",477,1142,1619
16600,"English Life Skills",2,,"Y",990,531,1521
30110,"English Studies",2,,"Y",4923,3383,8306
26400,"Entertainment Industry",2,,"Y",4,8,12
26401,"Entertainment Industry",2,,"Y",514,619,1133
26402,"Entertainment Industry",4,,"Y",7,6,13
26499,"Entertainment Industry Examination",2,,"Y",370,476,846
26403,"Entertainment Industry Specialisation Study",1,,"Y",169,218,387
26404,"Entertainment Industry Specialisation Study",2,,"Y",1,2,3
63267,"Equine Studies",2,,"N",,2,2
65264,"Equine Studies",3,,"N",,1,1
65265,"Equine Studies",2,,"N",,2,2
31011,"Exploring Early Childhood",1,,"N",8,84,92
31012,"Exploring Early Childhood",2,,"N",20,722,742
41016,"Fashion Design and Technology",2,,"N",,8,8
41017,"Fashion Design and Technology",2,,"N",,6,6
15660,"Filipino Continuers",2,,"Y",7,7,14
63203,"Film Studies",2,,"N",12,6,18
63318,"Financial Management",2,,"N",19,4,23
27200,"Financial Services",2,,"Y",1,2,3
27201,"Financial Services",2,,"Y",76,66,142
27202,"Financial Services",4,,"Y",2,2,4
27299,"Financial Services Examination",2,,"Y",49,62,111
27203,"Financial Services Specialisation Study",1,,"Y",6,13,19
41804,"Fitness",2,,"N",128,34,162
41805,"Fitness",3,,"N",77,46,123
65590,"Flooring Technology",2,,"N",1,,1
54610,"Floristry",2,,"N",1,2,3
54612,"Floristry",2,,"N",,1,1
15180,"Food Technology",2,,"Y",831,2704,3535
16683,"Food Technology Life Skills",2,,"Y",218,129,347
43307,"Forest Industry",2,,"N",2,,2
15670,"French Beginners",2,,"Y",123,493,616
15680,"French Continuers",2,,"Y",252,527,779
15690,"French Extension",1,,"Y",73,114,187
43413,"Furniture Making",2,,"N",25,2,27
43414,"Furniture Making",2,,"N",90,4,94
15190,"Geography",2,,"Y",2337,1946,4283
16690,"Geography Life Skills",2,,"Y",67,28,95
15700,"German Beginners",2,,"Y",34,79,113
15710,"German Continuers",2,,"Y",87,162,249
15720,"German Extension",1,,"Y",19,30,49
65630,"Glass and Glazing",2,,"N",1,,1
63312,"Global Communities and Citizenship",2,,"N",7,14,21
43899,"Hair and Beauty Services",2,,"N",2,259,261
65231,"Hairdressing",2,,"N",2,95,97
65232,"Hairdressing",4,,"N",3,20,23
65233,"Hairdressing School-based Apprenticeship",2,,"N",1,9,10
65234,"Hairdressing School-based Apprenticeship",3,,"N",,3,3
65236,"Hairdressing School-based Apprenticeship",2,,"N",1,24,25
65237,"Hairdressing School-based Apprenticeship",3,,"N",,3,3
65550,"Heavy Commercial Vehicle Mechanical Technology",2,,"N",2,,2
15555,"Heritage Chinese (Mandarin)",2,,"Y",19,65,84
15765,"Heritage Indonesian",2,,"Y",1,8,9
15835,"Heritage Japanese",2,,"Y",16,15,31
15885,"Heritage Korean",2,,"Y",14,40,54
15730,"Hindi Continuers",2,,"Y",10,10,20
15280,"History Extension",1,,"Y",726,1136,1862
16691,"History Life Skills",2,,"Y",111,67,178
63314,"History Matters",2,,"N",,5,5
41937,"Horse Industry Practice",2,,"N",,25,25
41938,"Horse Industry Practice",4,,"N",,4,4
26500,"Hospitality",2,,"Y",29,46,75
26501,"Hospitality",2,,"Y",2037,5047,7084
26502,"Hospitality",4,,"Y",86,143,229
26589,"Hospitality Examination (Food and Beverage)",2,,"Y",416,1483,1899
26587,"Hospitality Examination (Kitchen Operations and Cookery)",2,,"Y",876,2141,3017
26503,"Hospitality Specialisation Study",1,,"Y",11,33,44
26504,"Hospitality Specialisation Study",2,,"Y",26,52,78
27101,"Human Services",2,,"Y",28,353,381
27109,"Human Services",2,,"Y",51,533,584
27199,"Human Services Examination",2,,"Y",57,597,654
16694,"Human Society and its Environment Life Skills",2,,"Y",329,152,481
15740,"Hungarian Continuers",2,,"Y",4,1,5
43620,"Indigenous Primary Health Care",2,,"N",,4,4
15770,"Indonesian Background Speakers",2,,"Y",24,38,62
15750,"Indonesian Beginners",2,,"Y",13,16,29
15760,"Indonesian Continuers",2,,"Y",38,42,80
15780,"Indonesian Extension",1,,"Y",8,7,15
15200,"Industrial Technology",2,,"Y",4810,766,5576
16684,"Industrial Technology Life Skills",2,,"Y",139,17,156
19900,"Industry-based Learning",2,,"N",121,61,182
19905,"Industry-based Learning",2,,"N",295,254,549
69002,"Information and Cultural Services",2,,"N",,2,2
65390,"Information and Digital Skills",2,,"N",,1,1
65392,"Information and Digital Skills",2,,"N",,2,2
65394,"Information and Digital Skills",4,,"N",2,1,3
27300,"Information and Digital Technology",2,,"Y",31,8,39
27301,"Information and Digital Technology",2,,"Y",868,141,1009
27302,"Information and Digital Technology",4,,"Y",41,3,44
27303,"Information and Digital Technology Specialisation Study",1,,"Y",5,2,7
27304,"Information and Digital Technology Specialisation Study",2,,"Y",39,11,50
27305,"Information and Digital Technology Specialisation Study",3,,"Y",29,3,32
15210,"Information Processes and Technology",2,,"Y",2316,462,2778
16685,"Information Processes and Technology Life Skills",2,,"Y",50,13,63
63211,"Intensive Studio Practice",1,,"N",24,126,150
15790,"Italian Beginners",2,,"Y",113,332,445
15800,"Italian Continuers",2,,"Y",97,176,273
15810,"Italian Extension",1,,"Y",22,35,57
27385,"IDT Examination (Digital Animation)",2,,"Y",51,10,61
27387,"IDT Examination (Networking and Hardware)",2,,"Y",130,16,146
